video,lang,link,time_start,time_end,slo,eng
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:06:51,552","00:06:56,000","in se učili od vseh, ki so bili vpleteni v organizacijo Špil lige.",and learning from everyone who was involved in the organisation of the Špil Liga.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:06:56,700","00:07:01,068","Torej smo zelo vsrkali tisto,",So we really absorbed
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:01,092","00:07:03,529","kar so nam govorili o tem, da je treba imeti vedno",what we were told about the need  to always have
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:03,553","00:07:09,496","profesionalne fotografije, da je treba vedno na veliki zvon obešati vse informacije o bendu,","professional photographs, that you should always share all the information about the band,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:09,520","00:07:12,905",v glavnem ta nek promocijski del,"mainly the promotional part,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:12,929","00:07:17,925","povedala nam je tudi, oz. so nam povedali, da se moramo malo izboljšati","she also told us, or we were told, that we needed to improve a little bit"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:17,949","00:07:22,122",tehnično in smo potem nekako tudi malo bolj zares zagrabili inštrumente.,"technically and then we kind of practiced a little bit more, really."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:23,780","00:07:26,630","Tako da bom rekel, da je kombinacija","So, I'm going to say the combination"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:26,654","00:07:31,916","naše lastne zagnanosti v to, da se izboljšamo kot glasbeniki in",of our own drive to improve as musicians and
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:31,941","00:07:37,783","to, da smo dejansko sprejeli znanje, ki so nam ga bili pripravljeni ponuditi",actually embracing the knowledge that they were willing to offer us
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:37,807","00:07:40,460",in smo ga potem napolno začeli izkoriščati.,and then we started to fully benefit from it.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:42,960","00:07:45,980","A je to mogoče, se tukaj skriva, kakšen tak nasvet,","If possible, is there any advice"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:46,004","00:07:49,660","ki bi ga dal novim, nadobudnim, mladim ustvarjalcem?","that you would give to new, aspiring, young artists?"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:50,756","00:07:53,416",Da ste se vi iz tega nekaj naučili.,Something you have learned.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:54,667","00:07:56,828",A če je kakšen tak nasvet? - Ja.,If we have any advice? - Yes.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:07:57,619","00:08:04,632","Ja, kakor sem rekel, zelo pomembno je, da imaš na vsakem koncertu prisotnega fotografa,","Yes, as I said, it's very important that you have a photographer present at every concert,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:04,657","00:08:08,480","kar se da kvalitetnega, ne rabi biti to zdaj najbolj drag fotograf,","as good as possible, they don't have to be the most expensive photographer,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:08,505","00:08:12,706","lahko je tvoj prijatelj, ampak nekdo, ki zna ujeti tvoje bistvo, mogoče,","they can be your friend, but someone who can capture your essence, maybe"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:12,730","00:08:14,977","to je najbolj važno, mi smo imeli eno prijateljico,",that's the most important thing. We had a friend
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:15,001","00:08:16,816",ki je zelo dobro vedno ujela naše bistvo.,who always captured our essence very well.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:17,540","00:08:20,171","In da potem te fotografije lahko objaviš na splet,","And then to be able to post those photos on the web,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:20,195","00:08:23,665","zaradi tega, ker organizatorji zelo radi vidijo,","looking glamorous and nice,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:23,689","00:08:28,660","da zadeva zgleda pompozno in lepo, preden te pokličajo na koncert.",because the organisers really like to see them before they call you for a concert.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:29,520","00:08:34,716","Rekel bi, da je zelo pomembno to, da se povezuješ z ostalimi glasbeniki","I would say that it's very important that you connect with other musicians,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:34,740","00:08:39,614","iz svojih vrst, starostniki, in da delaš z njimi, sovrstniki,","peers, older ones, and to work with them, sorry, with peers,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:39,638","00:08:42,621","da delaš z njimi, kakašne kolaboracije.","to work with them, do some collaborations."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:43,417","00:08:44,735",Kaj je še kaj takega?,What else?
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:45,083","00:08:47,079","A lahko jaz nekaj dodam? - Ja, seveda.","Can I add something? - Yes, of course."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:47,920","00:08:53,876","Meni se predvsem zdi, da mladi glasbeniki štartajo zadevo tako, da mi bomo pa","I think young musicians in particular are starting things off like, we're going to"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:53,900","00:08:58,931","muziko delali in nas bo folk poslušal zaradi muzike, ampak to,","make music and people will listen to us for the music, but that's"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:08:58,955","00:09:04,773","mogoče malo kontraproduktivno, zato, ker je vizualna podoba, imidž, videospoti, fotke,","maybe a little counterproductive, because the visuals, the image, the videos, the photos,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:04,797","00:09:08,624","kakor je Bojan govoril, lih tako pomembno kot muzika in se mogoče kakšni slepijo,","as Bojan was saying, are just as important as the music, and maybe some people are fooling themselves,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:08,648","00:09:13,480","da mi bomo pa sam z muziko ratali, ampak je to kar zalogaj,no.","thinking that the music alone will be enough, when there's quite a lot of work."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:13,580","00:09:17,720",V bistvu je treba res celo zgodbo predstaviti in mi smo se tega konkretno lotili.,"Basically, there is a whole story to be told and we have been working on that."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:20,699","00:09:25,766","Mislim, ja, brez glasbe ne boš uspel kot glasbenik, ampak je pa","I mean, yes, you wouldn't be a musician without music, but"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:25,791","00:09:28,624","tudi vse ostalo pač zelo velikega pomena, no.","everything else is very important too, right?"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:30,045","00:09:34,500","Pa tudi priporočljivo je, da znaš svoje komade na koncertih.",And I would also recommend that you know your songs at concerts.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:35,919","00:09:37,820",Tudi kaj takega sem že videl.,I've seen something like that before as well.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:39,700","00:09:43,120","Ja, se mi zdi, da je v današnjem času vizualna podoba veliko bolj pomembna,","Yes, it seems to me that image is much more important these days,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:43,144","00:09:48,900","kot je bila pred leti, tako da to je definitivno dober nasvet, da delaš na tem.","than it was years ago, so that's definitely good advice, to work on that."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:51,523","00:09:56,742","Ko pomislim na Joker Out, pomislim na ene simpatične mlade fante,","When I think of Joker Out, I think of some charming, young guys,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:09:56,783","00:10:00,755","ki ustvarjajo glasbo s karakterjem, ki ti gre hitro v uho","who make music with character, that sticks in your head easily,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:00,779","00:10:03,580",po drugi strani pa se lahko v njej nekako začutiš.,"but on the other hand, to which you can kind of relate to."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:04,996","00:10:07,846","Kaj bi vi rekli, da je vaša najbolj prepoznavna lastnost",What would you say is your most distinctive characteristic
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:07,870","00:10:12,280",in kako se razlikujete od ostalih mladih ustvarjavcev na glasbeni sceni?,and how do you differ from other young artists on the music scene?
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:20,200","00:10:22,183","Kris, a boš ti prevzel to?","Kris, will you answer this?"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:22,439","00:10:26,843","Ne vem, če sem kvalificiran na to odgovoriti,","I don't know if I'm qualified to answer that,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:26,867","00:10:29,540",kva nas naredi boljše od drugih.,what makes us better than others.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:29,715","00:10:30,547",Jaz ...,I...
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:30,572","00:10:34,146","Drugačne. - Jaz res ... drugačne, no, sorry, pardon, ""boljše"" je malo taka.","Different. - I really... different, well, sorry, sorry, ""better"" is a bit..."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:37,231","00:10:39,827","Ne vem. Vem ena stvar, ki so jo nam vedno,","I don't know. I know one thing, they've always told us,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:39,851","00:10:44,678","preden smo tudi karkoli, kamorkoli prišli v narekovajih, so nam vedno govorili,","before we even, quote unquote, ""arrived wherever we needed to go to,"" they always told us"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:44,702","00:10:46,887",da imamo ful dobro energijo na odru,that we had a very good energy on stage
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:46,911","00:10:52,764","in da se ful lahko uživiš, ko gledaš koncert, res začutiš pač živo glasbo","and that you can enjoy yourself while attending the concert, you really feel the live music"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:52,789","00:10:58,241","in čutiš, da uni, ki ti jo igrajo, da so tudi tam zaradi tega, ker jo hočejo igrati","and you feel the people playing it are there because they want to play,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:10:58,265","00:11:01,841",in ti hočejo pač neko vzdušje in nek vibe predati,"and we just want to give a certain atmosphere and vibe,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:01,865","00:11:05,255","in se mi zdi, da je to v bistvu kar velika stvar.",and I think that's actually quite a big thing.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:05,280","00:11:10,748","Sploh dan danes, ko je itak vse neki posneta glasba, pa DJ pa to,","Especially today, when it's all recorded music anyway, and there are DJs,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:10,772","00:11:13,603","potem pa ko stopiš enkrat na živ dogodek,",only when you step foot in a live event
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:13,627","00:11:18,124",pa te res wall of sound neke žive glasbe zadane,"and you really get hit with a wall of sound of some live music,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:18,156","00:11:24,900","je pomojem, da kar pomemben občutek, oziroma pomemben občutek, ki je prispeval k tem.","I think it's quite an important feeling, or rather important feeling that contributed to that."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:26,278","00:11:31,810","Sigurno ja, hkrati bi jaz tudi dodal, da smo se lotili zelo hitro,","Yes, sure, but I would also add that we have started very quickly"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:31,834","00:11:35,884","zelo profesionalno ustvarjati glasbo,","to make music very profesionally,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:35,909","00:11:41,098","pa se vedno potrudili, da ko smo in igrali, zdaj, ko pač snemamo single","and we always made the effort when we played or, now, recording singles"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:41,122","00:11:43,298","in tudi album, da to naredimo,","and also the album, to do it to"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:43,322","00:11:50,380","res kar se da kvalitetno na našem področju in z možnostmi, ki jih imamo.",the highest possible standard in our field and with the possibilities that we have.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:52,315","00:11:55,535",Tako da tudi nismo nikoli izdajali nekih demotov,"So, we have never released any demos either,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:55,559","00:11:58,576","ali pa karkoli, kar ne pravim, da je lahko slabo, ampak…","or anything, I'm not saying that is bad, but..."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:11:58,600","00:11:59,860",Naši niso bili dobri.,Ours were not good.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:01,344","00:12:02,188",Ja.,Yes.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:02,907","00:12:03,913",Tako nekako.,Sort of.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:06,317","00:12:08,417","Se mi zdi, da se to tudi sliši v glasbi, no.","I think that's what you hear in music, too, right?"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:09,953","00:12:10,969",Ja.,Yes.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:12,240","00:12:16,700",Že pred nastankom Joker Outa ste bili vsi dejavni na glasbenem področju.,You were all already active in the music field before Joker Out was formed.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:17,290","00:12:22,929","Bojan, Matica in Martin v skupini Apokalipsa, Kris in Jan pa v skupini Boržuazija.","Bojan, Matic, and Martin in the band Apokalipsa, Kris and Jan in the band Buržuazija."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:23,380","00:12:25,704",Od kdaj se pravzaprav ukvarjate z glasbo?,How long have you been involved in music?
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:30,287","00:12:31,511",Zelo različno. V bistvu…,It differs. Basically...
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:32,550","00:12:37,033",Jaz sem v osnovni šoli začel igrati klasično kitaro v glasbeni šoli.,"While in elementary school, I started playing classical guitar at music school."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:39,761","00:12:40,774",Bojan…,Bojan...
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:41,200","00:12:44,420","Jaz nisem nikoli začel igrati nič v glasbeni šoli, na žalost.","I never started playing anything at music school, unfortunately."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:44,867","00:12:50,170","Ampak je pa, kdaj, v petem razredu,","But, at some point, in fifth grade,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:50,194","00:12:56,360","ko smo Green Day poslušali vsak dan pa gledali njihove koncerte z veseljem začel pet zraven,","when we listened to Green Day every day and watched their concerts, he happily started singing along,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:12:56,385","00:13:00,532","ko sva jaz pa še en prijatelj Luka, ko sva skupaj tudi v glasbeni šoli igrala.","while I and another friend of ours, Luka, played together at music shool."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:01,286","00:13:03,780",Začela v kleti 'Smoke on the Water' nažigati.,We started playing 'Smoke on the Water' in the basement.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:05,940","00:13:06,778",Tako je.,That's right.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:07,180","00:13:10,543",Jaz sem v devetem razredu prvič prijel kitaro v osnovni šoli.,"I picked up a guitar for the first time in ninth grade, primary school."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:11,580","00:13:12,712",Jaz tudi.,Me too.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:13,149","00:13:15,304","Jaz sem mislil reči, da sem bil verjetno ta zadnji,","I meant to say that I was probably the last one,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:15,328","00:13:17,624","ampak nisem vedel, da si tudi ti šele takrat začel.","but I didn't know that you were just starting then, too."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:17,649","00:13:23,507","Jaz sem začel igrati kitaro, zradi tega ker so moji najboljši prijatelji igrali v bendu, ne.",I started playing the guitar because my best friends were in a band.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:23,840","00:13:26,340",Pa me je to kar zmotiviralo.,And it did get me quite motivated.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:27,073","00:13:29,686","Dobro je zgledalo, pa sem bil tako, ""Damn, I wanna be part of that.""","It looked good and I was like, ""Damn, I wanna be part of that."""
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:30,466","00:13:34,811","Jaz sem začel igrati kitaro, ko sem bil pri Tabornikih* in smo imeli nek sestanek,",I started playing guitar when I was in the scouts and we had a meeting
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:35,183","00:13:39,511",kjer sta pač dva sočlana voda* prinesla kitaro s seboj.,where two of my squad mates brought their guitars with them.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:40,820","00:13:45,940",In smo peli neke komade in je vse zvenelo absolutno grozno.,And we were singing some songs and it all sounded absolutely awful.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:46,460","00:13:49,620","In jaz sem se tisti večer odločil, da bom začel igrati kitaro.",And I decided that night that I was going to start playing guitar.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:50,686","00:13:54,823",In sem prijel očetovo kitaro in začel gledati posnetke na YouTube.,And I grabbed my dad's guitar and started watching YouTube videos.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:13:55,560","00:14:00,802","In potem, čez eno leto, sem spoznal Mateja Mršnika,","And then, a year later, I met Matej Mršnik,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:00,826","00:14:02,620",ki je bil takrat tudi Krisov učitelj.,who was also Kris' teacher at the time.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:04,294","00:14:05,358",In,And
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:06,125","00:14:12,032","to mi je tako res pomagalo, se mi zdi no, brez njega ziher ne bi bil, kjer sem.","that really helped me, I think, well, I wouldn't be where I am without him."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:12,270","00:14:15,946","To je bil ključen dogodek, ko sem jaz... ko smo ustanavljali Boržuazijo,","This was a key event when I... when we were forming Buržuazija,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:15,970","00:14:19,318","sem jaz iskal še enga kitarista, da...",I was looking for another guitar player to...
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:19,342","00:14:21,477","ker sem vedel, da bom samo jaz ne bo dost,","I knew that I just wouldn't be enough,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:21,501","00:14:24,580","da hočem, da malo bolje žge in sem vprašel Mršnika.","that I wanted something a little better, so I asked Mršnik."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:24,605","00:14:26,120","Wall of sound. - Wall of sound, ja.","Wall of sound. - Wall of sound, yes."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:27,674","00:14:31,794","Sem vprašel Mršnika, če on koga pozna in je on, ni pol sekunde minilo,","I asked Mršnik if he knew anyone, and not half a second passed"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:31,818","00:14:35,020","odkar sem ga vprašal, pa je takoj vedel, da mi more Jana priporočati.",since I asked for him to immediately  recommend Jan to me.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:35,045","00:14:40,220","In sem, ne vem, še isti dan sem ga po mojem da klical, ""Yo, a prideš na vaje?""","And I, I don't know, the same day, I think, I called him. ""Yo, are you coming to rehearsals?"""
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:40,562","00:14:41,475",Pa je bilo.,And he came.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:41,500","00:14:44,880",Torej je Matej Mršnik skoval usodo skupine Joker Out.,"So, Matej Mršnik has forged the fate of Joker Out."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:45,819","00:14:47,375",Pa še jo kuje. - Ja.,And he's still forging it. - Yes.
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:47,980","00:14:48,997","Še, še.","Still, still."
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:50,380","00:14:56,287","A pa mislite, da je imela ta formalna izobrazba v glasbeni šoli, tisti, ki ste jo obiskovali,","Do you think that this formal education received in music school, for those who went,"
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:56,311","00:14:58,069","veliko vpliv na to, kjer ste zdaj?",heavily influenced where you are now?
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:14:58,094","00:15:01,980","Ali ste se več tako... več pomeni to, da ste se sami veliko naučili?",Is that the case.... or have you learned a lot more by yourself?
Joker Out - Kulturni multipraktik na Gimnaziji Bežigrad,SLO,https://youtu.be/OzQAUP9ITsQ,"00:15:02,640","00:15:05,624","V bistvu sem jaz edini, a ne, ki sem bil v glasbeni šoli.","In fact, I am the only one, right, who attended music school."
